sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
5.976;6.435;8.887;3.5685;4.0316;8.1993;2.5606;1.4846;0.9943;0.2266;-1.4963;-1.0753;748.4956;23.75;-1.56;-31.0;275.93;-21.24;-18.68;0.4;50.037;12.84161;77.66418;678.39;3046.691378646719;0.0;30.64516;0.0;7 / 22;107;2016-11-30 16:02:48:844
5.976;6.435;8.887;3.6502;4.086;8.1448;2.329;2.3427;0.7355;0.2394;-1.5531;-1.0805;748.4956;23.56;-2.12;-31.0;279.78;-24.27;-23.52;0.4;50.037;12.84161;77.66418;678.39;3046.691378646719;0.0;30.64516;0.0;7 / 22;111;2016-11-30 16:02:48:848
5.976;6.435;8.887;3.6502;4.086;8.1448;2.329;2.3427;0.7355;0.2394;-1.5531;-1.0805;748.4956;23.56;-2.12;-31.0;279.78;-24.27;-23.52;0.4;50.037;12.84161;77.66418;678.39;3046.691378646719;0.0;30.64516;0.0;7 / 22;116;2016-11-30 16:02:48:853
5.976;6.435;8.275;3.6502;4.086;8.1448;2.329;2.3427;0.7355;0.2389;-1.5438;-1.0739;748.4956;23.56;-2.12;-31.0;279.78;-24.27;-23.52;0.4;50.037;12.84161;77.66418;678.39;3046.691378646719;0.0;30.64516;0.0;7 / 22;121;2016-11-30 16:02:48:858
6.436;6.59;8.275;3.6502;4.086;8.1448;2.329;2.3427;0.7355;0.2389;-1.5438;-1.0739;748.4956;23.56;-2.12;-31.0;279.78;-24.27;-23.52;0.4;50.037;12.84161;77.66418;678.39;3046.691378646719;0.0;30.64516;0.0;7 / 22;126;2016-11-30 16:02:48:863
6.436;6.59;8.275;3.8;4.195;8.0086;2.4789;2.3971;0.4222;0.2356;-1.5165;-1.0205;748.4956;23.19;-2.5;-30.56;279.78;-24.27;-23.52;0.4;50.037;12.84161;77.66418;678.39;3046.691378646719;0.0;30.64516;0.0;7 / 22;131;2016-11-30 16:02:48:868
6.436;6.59;8.275;3.8;4.195;8.0086;2.4789;2.3971;0.4222;0.2356;-1.5165;-1.0205;748.4956;23.19;-2.5;-30.56;279.78;-24.27;-23.52;0.4;50.037;12.84161;77.66418;678.39;3046.691378646719;0.0;30.64516;0.0;7 / 22;137;2016-11-30 16:02:48:874
4.75;5.363;5.669;3.8;4.195;8.0086;2.4789;2.3971;0.4222;0.2356;-1.5165;-1.0205;748.4956;23.19;-2.5;-30.56;279.78;-24.27;-23.52;0.4;50.037;12.84161;77.66418;678.39;3046.691378646719;0.0;30.64516;0.0;7 / 22;142;2016-11-30 16:02:48:879
4.75;5.363;5.669;3.9498;4.304;7.886;1.2531;1.5118;-1.757;0.2378;-1.3693;-0.8838;748.4956;22.13;-2.87;-30.94;278.97;-25.33;-25.38;0.4;50.037;12.84161;77.66418;678.39;3046.691378646719;0.0;30.64516;0.0;7 / 22;146;2016-11-30 16:02:48:883
4.75;5.363;5.669;3.9498;4.304;7.886;1.2531;1.5118;-1.757;0.2378;-1.3693;-0.8838;748.4956;22.13;-2.87;-30.94;278.97;-25.33;-25.38;0.4;50.037;12.84161;77.66418;678.39;3046.691378646719;0.0;30.64516;0.0;7 / 22;152;2016-11-30 16:02:48:889
