sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.92;2.299;8.735;2.6695;4.0724;8.5262;-1.757;-0.7082;0.5176;-0.2351;1.2111;0.0464;256.7568;1.5;-33.94;-1.69;183.39;-25.31;-22.0;1.0;44.776;12.845108;77.66332;;3063.1360279499304;;113.158066;;0 / 22;51;2016-11-30 16:01:42:259
0.92;2.299;8.735;2.6695;4.0724;8.5262;-1.757;-0.7082;0.5176;-0.2351;1.2111;0.0464;256.7568;1.5;-33.94;-1.69;183.39;-25.31;-22.0;1.0;44.776;12.845108;77.66332;;3063.1360279499304;;113.158066;;0 / 22;83;2016-11-30 16:01:42:291
0.92;2.299;8.735;2.6695;4.0724;8.5262;-1.757;-0.7082;0.5176;-0.2351;1.2111;0.0464;256.7568;1.5;-33.94;-1.69;183.39;-25.31;-22.0;1.0;44.776;12.845108;77.66332;;3063.1360279499304;;113.158066;;0 / 22;83;2016-11-30 16:01:42:291
0.92;2.299;8.735;2.6695;4.0724;8.5262;-1.757;-0.7082;0.5176;-0.2351;1.2111;0.0464;256.7568;1.5;-33.94;-1.69;183.39;-25.31;-22.0;1.0;44.776;12.845108;77.66332;;3063.1360279499304;;113.158066;;0 / 22;84;2016-11-30 16:01:42:292
0.92;2.299;8.735;2.6695;4.0724;8.5262;-1.757;-0.7082;0.5176;-0.2351;1.2111;0.0464;256.7568;1.5;-33.94;-1.69;183.39;-25.31;-22.0;1.0;44.776;12.845108;77.66332;;3063.1360279499304;;113.158066;;0 / 22;84;2016-11-30 16:01:42:292
0.92;2.299;8.735;2.6695;4.0724;8.5262;-1.757;-0.7082;0.5176;-0.2351;1.2111;0.0464;256.7568;1.5;-33.94;-1.69;183.39;-25.31;-22.0;1.0;44.776;12.845108;77.66332;;3063.1360279499304;;113.158066;;0 / 22;84;2016-11-30 16:01:42:292
0.92;2.299;8.735;2.6695;4.0724;8.5262;-1.757;-0.7082;0.5176;-0.2351;1.2111;0.0464;256.7568;1.5;-33.94;-1.69;183.39;-25.31;-22.0;1.0;44.776;12.845108;77.66332;;3063.1360279499304;;113.158066;;0 / 22;85;2016-11-30 16:01:42:293
0.92;2.299;8.735;2.6695;4.0724;8.5262;-1.757;-0.7082;0.5176;-0.2351;1.2111;0.0464;256.7568;1.5;-33.94;-1.69;183.39;-25.31;-22.0;1.0;44.776;12.845108;77.66332;;3063.1360279499304;;113.158066;;0 / 22;87;2016-11-30 16:01:42:295
0.92;2.299;8.735;2.6695;4.0724;8.5262;-1.757;-0.7082;0.5176;-0.2351;1.2111;0.0464;256.7568;1.5;-33.94;-1.69;183.39;-25.31;-22.0;1.0;44.776;12.845108;77.66332;;3063.1360279499304;;113.158066;;0 / 22;91;2016-11-30 16:01:42:299
0.92;2.299;8.735;2.6695;4.0724;8.5262;-1.757;-0.7082;0.5176;-0.2351;1.2111;0.0464;256.7568;1.5;-33.94;-1.69;183.39;-25.31;-22.0;1.0;44.776;12.845108;77.66332;;3063.1360279499304;;113.158066;;0 / 22;96;2016-11-30 16:01:42:304
