sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
3.831;2.299;4.291;4.8215;5.5298;6.5104;-1.1441;-3.0781;-1.3075;1.3573;-0.2555;0.3428;156.6038;9.63;-26.87;3.25;192.13;-32.12;-33.64;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;70;2016-11-30 15:59:27:894
3.831;2.299;4.291;4.9032;5.6387;6.3606;-0.9262;-3.3505;-2.5333;1.0788;-0.4151;0.5882;156.6038;10.06;-25.75;3.25;193.42;-34.32;-36.52;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;74;2016-11-30 15:59:27:898
3.831;2.299;4.291;4.9032;5.6387;6.3606;-0.9262;-3.3505;-2.5333;1.0788;-0.4151;0.5882;156.6038;10.06;-25.75;3.25;193.42;-34.32;-36.52;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;80;2016-11-30 15:59:27:904
5.669;2.604;0.612;4.9032;5.6387;6.3606;-0.9262;-3.3505;-2.5333;0.7573;-0.054;0.673;156.6038;10.06;-25.75;3.25;193.42;-34.32;-36.52;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;85;2016-11-30 15:59:27:909
5.669;2.604;0.612;4.9032;5.6387;6.3606;-0.9262;-3.3505;-2.5333;0.7573;-0.054;0.673;156.6038;10.06;-25.75;3.25;193.42;-34.32;-36.52;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;90;2016-11-30 15:59:27:914
5.669;2.604;0.612;4.985;5.6523;6.2789;1.4437;-2.9011;-4.2903;0.6782;-0.1003;0.6553;156.6038;9.81;-24.19;2.38;193.42;-34.32;-36.52;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;94;2016-11-30 15:59:27:918
5.669;2.604;0.612;4.985;5.6523;6.2789;1.4437;-2.9011;-4.2903;0.6782;-0.1003;0.6553;156.6038;9.81;-24.19;2.38;193.42;-34.32;-36.52;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;99;2016-11-30 15:59:27:923
7.202;3.984;2.298;4.985;5.6523;6.2789;1.4437;-2.9011;-4.2903;0.604;-0.3008;0.6204;156.6038;9.81;-24.19;2.38;193.42;-34.32;-36.52;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;105;2016-11-30 15:59:27:929
7.202;3.984;2.298;4.985;5.6523;6.2789;1.4437;-2.9011;-4.2903;0.604;-0.3008;0.6204;156.6038;9.81;-24.19;2.38;193.42;-34.32;-36.52;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;110;2016-11-30 15:59:27:934
7.202;3.984;2.298;5.0803;5.666;6.1835;-0.0272;1.076;-3.119;0.604;-0.3008;0.6204;156.6038;10.25;-24.62;3.31;193.23;-35.19;-38.45;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;114;2016-11-30 15:59:27:938
9.96;11.492;0.459;5.0803;5.666;6.1835;-0.0272;1.076;-3.119;0.604;-0.3008;0.6204;156.6038;10.25;-24.62;3.31;193.23;-35.19;-38.45;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;119;2016-11-30 15:59:27:943
9.96;11.492;0.459;5.0803;5.666;6.1835;-0.0272;1.076;-3.119;0.604;-0.3008;0.6204;156.6038;10.25;-24.62;3.31;193.23;-35.19;-38.45;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;125;2016-11-30 15:59:27:949
9.96;11.492;0.459;5.0803;5.666;6.1835;-0.0272;1.076;-3.119;0.604;-0.3008;0.6204;156.6038;10.25;-24.62;3.31;193.23;-35.19;-38.45;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;130;2016-11-30 15:59:27:954
9.96;11.492;0.459;5.0803;5.666;6.1835;-0.0272;1.076;-3.119;0.604;-0.3008;0.6204;156.6038;10.25;-24.62;3.31;193.23;-35.19;-38.45;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;135;2016-11-30 15:59:27:959
5.669;9.807;-0.459;5.2574;5.7341;5.9792;1.9477;6.524;-4.1405;0.8541;-0.7693;0.27;156.6038;11.13;-23.56;3.0;193.23;-35.19;-38.45;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;140;2016-11-30 15:59:27:964
5.669;9.807;-0.459;5.2574;5.7341;5.9792;1.9477;6.524;-4.1405;0.8541;-0.7693;0.27;156.6038;11.13;-23.56;3.0;193.23;-35.19;-38.45;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;144;2016-11-30 15:59:27:968
5.669;9.807;-0.459;5.2574;5.7341;5.9792;1.9477;6.524;-4.1405;0.8541;-0.7693;0.27;156.6038;11.13;-23.56;3.0;193.23;-35.19;-38.45;0.4;52.783;12.845108;77.66332;;3063.1360279499304;;85.55161;;0 / 23;150;2016-11-30 15:59:27:974
